long,lat,id_arbol,altura_tot,diametro,inclinacio,id_especie,nombre_com,nombre_cie,tipo_folla,espacio_ve,ubicacion,nombre_fam,nombre_gen,origen,coord_x,coord_y
-58.4775636069,-34.6450145297,1,6,35,0,53,Washingtonia (Palmera washingtonia),Washingtonia filifera,Palmera,"AVELLANEDA, NICOLÁS, Pres.","DIRECTORIO, AV. - LACARRA, AV. - MONTE -  AUTOPISTA PERITO MORENO (AU 6) - AMEGHINO, FLORENTINO, DR.",Arecaceas,Washingtonia,Exótico,98692.30571900001,98253.300738
-58.460467826599995,-34.682468899,34,22,40,0,14,Álamo plateado,Populus alba,Árbol Latifoliado Caducifolio,DE LAS VICTORIAS,"LARRAZABAL, AV. - FERNANDEZ DE LA CRUZ, FRANCISCO, GRAL., AV. - ROCA, CNEL., AV.",Salicáceas,Populus,Exótico,100259.563763,94098.42867899999
-58.5050933042,-34.5675817714,1380,20,33,5,330,Eucalipto,Eucalyptus sp.,Árbol Latifoliado Perenne,GENERAL PAZ,"LARRALDE, CRISOLOGO, AV. - PAZ, GRAL., AV.- AIZPURUA",Mirtáceas,Eucalyptus,Exótico,96164.756178,106842.46540700001
-58.4408261441,-34.5570334637,1443,2,9,5,999,No Determinable,No Determinable,No Determinado,"AGUILAR, FELIX, Ing.","ALSINA, VALENTIN, AV. - CAZADORES - LA PAMPA - DRAGONES",No identificada,No identificado,No Determinado,102062.53369299999,108013.211743
-58.3617031003,-34.608809161399996,1585,8,13,0,315,Álamo blanco piramidal,Populus alba bolleana,Árbol Latifoliado Caducifolio,MUJERES ARGENTINAS,"DE LOS ITALIANOS, AV - MANSO, JUANA - SµENZ, MANUELA - LYNCH, MARTA",Salicáceas,Populus,Exótico,109318.492099,102265.160973
-58.3586797311,-34.6169822365,1592,3,10,0,375,Tuja,Thuja sp.,Árbol Conífero Perenne,"BASTIDAS, MICAELA","LANTERI, JULIETA - VERA PEÑALOZA, ROSARIO, BOULEVARD - CALABRIA",Cupresáceas,Thuja,Exótico,109594.865768,101358.217946
-58.458769136499996,-34.6147394752,21631,13,41,18,64,Almez (Almecino o Almecina),Celtis australis,Árbol Latifoliado Caducifolio,IRLANDA,"GAONA, AV. - ALVAREZ, DONATO, TTE. GRAL., AV. - NEUQUEN - SEGUI, F.J., ALMTE.",Ulmaceas,Celtis,Exótico,100415.520535,101611.929747
-58.43377452399999,-34.6060846154,21650,22,100,0,18,Gomero,Ficus elastica,Árbol Latifoliado Perenne,CENTENARIO,"DIAZ VELEZ, AV. - MARECHAL, LEOPOLDO - PATRICIAS ARGENTINAS, AV.",Moráceas,Ficus,Exótico,102708.15380900001,102571.668945
-58.479083246,-34.5518244853,42726,13,36,7,4,Tilo,Tilia viridis subsp. x moltkei,Árbol Latifoliado Caducifolio,"SAAVEDRA, CORNELIO de, Brig. Gral.","GARCIA DEL RIO, AV. - MELIAN, AV. - VILELA - PEREZ, ROQUE - BESARES - CONDE - PINTO - FREIRE, RAMON, CAP. GRAL.",Tiliaceas,Tilia,Exótico,98551.30124500001,108591.155435
-58.505533579899996,-34.5667794194,42734,18,82,0,55,Fenix,Phoenix canariensis,Palmera,GENERAL PAZ,"LARRALDE, CRISOLOGO, AV. - PAZ, GRAL., AV.- AIZPURUA",Arecaceas,Phoenix,Exótico,96124.318003,106931.451721
-58.4548524687,-34.5292673121,51052,11,26,8,45,Casuarina,Casuarina cunninghamiana,Árbol Latifoliado Perenne,DE LOS NIÑOS (EX - TRIANGULO DEL ESTE) (Denominaci¢n Propuesta),CIRCULO POLICIAL - CLUB CASA - PARTIDO DE VICENTE LOPEZ - RIO DE LA PLATA,Casuarinaceas,Casuarina,Exótico,100775.477256,111093.56961600001
