"Espárrago", 631.59, 164
"Naranja", 16.92, 880
"Mandarina", 20.88, 800
"Naranja", 9.43, 950
"Lechuga", 41.20, 909
"Pepino", 33.50, 475
"Acelga", 26.06, 990
"Lima", 1338.56, 238
"Mandarina", 29.65, 910
"Durazno", 148.10, 648
"Tomate", 731.32, 810
"Alcachofa", 136.96, 333
"Limon", 318.71, 567
"Durazno", 286.01, 728
"Ajo", 920.29, 94
"Uva", 662.69, 243
"Kiwi", 435.58, 436
"Higo", 2498.01, 91
"Repollo", 2.86, 721
"Banana", 81.92, 1060
"Ciruela", 975.19, 765
"Palta", 449.17, 540
"Repollo", 5.51, 595
"Repollo", 5.54, 728
"Kinoto", 36.71, 204
"Kiwi", 425.25, 360
"Manzana", 155.55, 990
"Naranja", 11.97, 980
"Lima", 1041.43, 216
"Manzana", 115.97, 1160
"Ciruela", 991.83, 810
"Ciruela", 904.96, 819
"Frambuesa", 2036.24, 109
"Kinoto", 30.01, 176
"Lima", 1292.85, 240
"Alcachofa", 137.50, 243
"Calabaza", 16.06, 888
"Higo", 2556.45, 101
"Cebolla", 59.85, 704
"Apio", 61.07, 342
"Papa", 23.49, 830
"Durazno", 277.21, 912
"Pera", 157.20, 1130
"Limon", 363.98, 805
"Mandarina", 17.47, 1120
"Brócoli", 371.17, 452
"Lima", 982.27, 182
"Cebolla", 56.92, 744
"Pera", 165.00, 850
"Manzana", 139.09, 860
"Rabanito", 237.36, 324
"Coliflor", 29.90, 595
"Papa", 11.77, 870
"Banana", 48.91, 800
"TomCherry", 541.78, 166
"Coliflor", 32.60, 540
"Cebolla", 63.70, 824
"Lima", 1405.98, 232
"Espárrago", 612.59, 232
"Berenjena", 53.11, 546
"Banana", 59.34, 850
"TomCherry", 518.40, 222
"Mandarina", 17.71, 810
"Frutilla", 300.46, 303
"Repollo", 10.23, 658
"Papa", 14.97, 1140
"Durazno", 256.38, 680
"Kinoto", 38.07, 220
"TomCherry", 566.53, 230
"Cereza", 1032.88, 186
"Lima", 1386.05, 168
"Kiwi", 428.15, 476
"Zanahoria", 25.68, 636
"Palta", 490.44, 440
"Coliflor", 36.53, 550
"Lima", 1178.52, 160
"Cereza", 1049.12, 222
"Higo", 2439.83, 97
"Melón", 105.62, 356
"Choclo", 50.48, 243
"Naranja", 11.52, 840
"Coliflor", 37.64, 555
"Pera", 170.68, 890
"Cereza", 1128.32, 172
"Berenjena", 50.62, 612
"Acelga", 28.15, 981
"Repollo", 8.22, 574
"Higo", 2560.57, 96
"Apio", 55.25, 270
"Champignon", 3533.62, 107
"Mandarina", 19.31, 890
"Uva", 696.05, 330
"Frambuesa", 2009.56, 85
"Sandía", 56.26, 801
"Limon", 338.52, 693
"Lima", 1394.93, 184
"Batata", 20.72, 1190
"Durazno", 183.09, 784
"Lima", 1431.85, 166
"Tomate", 653.72, 1053
"Pomelo", 41.08, 936
"Calabaza", 18.80, 648
"Alcachofa", 148.81, 339
"Choclo", 57.28, 300
"Ciruela", 987.65, 1044
"Palta", 1168.80, 444
"Choclo", 52.14, 339
"Cereza", 1077.77, 210
"Durazno", 173.31, 880
"Pomelo", 47.09, 837
"Lechuga", 45.77, 864
"Limon", 318.51, 735
"Uva", 712.09, 315
"Ajo", 933.62, 117
"Pera", 126.86, 1050
"Limon", 302.39, 763
"Cebolla", 58.61, 752
"Limon", 298.96, 763
"Limon", 309.97, 588
"Frambuesa", 2031.95, 81
"Lima", 1208.16, 204
"Lima", 1060.14, 168
"Papa", 11.99, 1030
"Durazno", 190.21, 896
"Pomelo", 50.23, 1044
"Lima", 1202.66, 186
"Apio", 60.83, 249
"Mandarina", 20.76, 1100
"Palta", 494.06, 515
"Espárrago", 585.61, 172
"Zuccini", 68.05, 714
"Melón", 108.20, 344
"Lima", 1369.25, 236
"Papa", 14.51, 1070
"Lechuga", 41.94, 1044
"Palta", 489.31, 510
"Palta", 498.09, 570
"Caqui", 847.93, 95
"Tomate", 722.40, 774
"Repollo", 4.11, 735
"Cereza", 994.87, 194
"Tomate", 730.23, 774
"Banana", 72.82, 860
"Pomelo", 43.27, 963
"Durazno", 170.87, 920
"Choclo", 70.39, 249
"Alcachofa", 148.66, 354
"Morrón", 3030.79, 540
"Apio", 67.35, 285
"Frutilla", 293.42, 288
"Espárrago", 645.14, 240
"Zuccini", 75.72, 606
"Coliflor", 27.93, 535
"Naranja", 8.05, 1020
"Apio", 47.80, 252
"Repollo", 8.74, 721
"Champignon", 3626.35, 118
"Espárrago", 571.00, 240
"Cebolla", 60.63, 736
"Repollo", 5.09, 665
"Alcachofa", 138.53, 309
"Naranja", 14.23, 840
"Durazno", 270.99, 728
"Mandarina", 16.50, 1160
"Ciruela", 943.12, 819
"Brócoli", 391.73, 428
"Naranja", 8.32, 990
"Espárrago", 623.19, 182
"Lima", 1029.13, 218
"Champignon", 3530.07, 82
"Batata", 20.60, 930
"Zanahoria", 34.57, 480
"Lechuga", 31.82, 936
"Ajo", 904.30, 92
"Palta", 1095.06, 320
"Kiwi", 436.56, 408
"Lima", 1035.07, 178
"Acelga", 13.91, 945
"Pepino", 51.61, 595
"Banana", 57.76, 1000
"Champignon", 3675.91, 80
"Calabaza", 19.15, 816
"Lima", 1245.22, 190
"Papa", 20.40, 1090
"Palta", 509.92, 600
"Mandarina", 24.31, 950
"Zuccini", 92.79, 708
"Frutilla", 314.45, 348
"Sandía", 54.91, 945
"Kiwi", 401.83, 440
"Palta", 1163.48, 472
"Espárrago", 638.75, 198
"Banana", 58.40, 980
"Melón", 104.80, 400
"Mandarina", 16.67, 1180
"Melón", 82.14, 400
"Papa", 21.50, 1070
"Durazno", 282.93, 760
"Morrón", 2914.13, 708
"Lima", 1255.13, 196
"Coliflor", 29.39, 505
"Zanahoria", 32.64, 714
"Espárrago", 644.21, 212
"Pomelo", 42.96, 810
"Mandarina", 12.28, 1020
"Caqui", 844.47, 100
"Rabanito", 232.86, 312
"TomCherry", 593.48, 170
"Zuccini", 88.03, 654
"Frutilla", 314.00, 345
"Pepino", 45.48, 510
"Morrón", 2959.35, 684
"Sandía", 55.89, 783
"Frambuesa", 2119.72, 110
"Frambuesa", 2009.02, 104
"Ajo", 887.38, 89
"Kiwi", 429.49, 424
"Durazno", 286.55, 920
"Cebolla", 76.68, 832
"Pomelo", 51.83, 720
"Zanahoria", 36.58, 702
"Uva", 735.82, 306
"Ajo", 891.40, 107
"Cereza", 1048.17, 224
"Tomate", 797.14, 954
"Tomate", 679.46, 774
"Champignon", 3574.31, 106
"Zanahoria", 36.33, 678
"Zanahoria", 34.34, 588
"Cebolla", 60.50, 640
"Batata", 19.33, 810
"Tomate", 745.68, 927
"Calabaza", 24.70, 944
"Ciruela", 965.22, 738
"Higo", 2587.67, 108
"Limon", 341.08, 651
"Ajo", 941.27, 108
"Uva", 737.35, 327
"Ajo", 856.95, 87
"Pomelo", 38.91, 747
"Durazno", 135.37, 960
"Berenjena", 55.72, 588
"Manzana", 126.43, 1040
"Morrón", 2939.53, 600
"Cebolla", 60.04, 776
"Alcachofa", 156.63, 276
"Kiwi", 423.48, 332
"Rabanito", 236.93, 285
"Tomate", 731.45, 1008
"Ciruela", 953.63, 864
"Lima", 1421.96, 176
"Mandarina", 17.87, 1130
"Cereza", 1040.91, 180
"Morrón", 2892.06, 570
"Papa", 20.09, 1140
"Manzana", 137.52, 1100
"Banana", 50.51, 1180
"Choclo", 63.15, 321
"Frutilla", 308.12, 333
"Batata", 26.33, 870
"Mandarina", 14.73, 1000
"Ciruela", 955.03, 801
"Ciruela", 943.04, 918
"Ajo", 870.37, 115
"Lima", 987.50, 226
"Durazno", 281.32, 760
"Ciruela", 978.82, 954
"Ajo", 883.78, 100
"Tomate", 754.46, 1035
"Lima", 1403.70, 160
"Ajo", 933.49, 104
"Zanahoria", 41.33, 678
"TomCherry", 546.38, 168
"Rabanito", 231.59, 261
"Calabaza", 22.61, 840
"Naranja", 8.46, 1180
"Pepino", 29.69, 495
"Pepino", 29.78, 450
"Cereza", 1047.25, 182
"Melón", 106.43, 456
"Choclo", 64.24, 270
"Rabanito", 238.59, 240
"Pomelo", 54.48, 765
"Mandarina", 16.92, 1020
"Banana", 62.02, 930
"Rabanito", 219.49, 297
"Sandía", 58.50, 756
"Pera", 154.71, 960
"Palta", 474.10, 405
"Kinoto", 42.22, 162
"Espárrago", 651.36, 188
"Coliflor", 22.64, 490
"Uva", 696.72, 312
"Choclo", 57.16, 324
"Durazno", 170.74, 656
"Lima", 1379.31, 222
"Repollo", 6.61, 609
"Kiwi", 431.53, 376
"Lima", 1056.65, 176
"Alcachofa", 153.96, 255
"Ajo", 906.19, 102
"Melón", 104.42, 372
"Brócoli", 331.12, 440
"Lima", 1352.83, 222
"Brócoli", 411.29, 388
"Coliflor", 29.23, 430
"Sandía", 64.47, 1062
"Uva", 710.57, 264
"Lechuga", 38.15, 999
"Pera", 139.56, 970
"Papa", 24.35, 1100
"Limon", 358.61, 665
"Durazno", 149.98, 920
"Acelga", 15.48, 972
"Papa", 20.38, 1120
"Repollo", 4.14, 826
"Tomate", 737.04, 999
"Palta", 1156.72, 360
"Ciruela", 943.61, 1071
"Durazno", 134.06, 680
"Lechuga", 38.79, 1080
"Naranja", 14.16, 1030
"Naranja", 16.87, 1140
"Kiwi", 406.43, 352
"Caqui", 845.32, 93
"Ciruela", 991.26, 873
"Limon", 288.51, 616
"TomCherry", 567.13, 214
"Naranja", 15.86, 1050
"Sandía", 63.95, 972
"Cebolla", 49.91, 872
"Sandía", 58.46, 810
"Ajo", 901.63, 119
"Manzana", 119.64, 1130
"Uva", 708.88, 288
"Melón", 108.19, 404
"Pera", 150.08, 970
"Banana", 74.40, 930
"Batata", 21.66, 1050
"Frambuesa", 2087.05, 96
"Cebolla", 74.87, 944
"Espárrago", 646.52, 228
"Caqui", 788.74, 112
"Calabaza", 16.47, 744
"Mandarina", 15.38, 1110
"Frambuesa", 2126.05, 100
"Espárrago", 645.00, 196
"Frambuesa", 2074.65, 84
"Brócoli", 372.50, 372
"Repollo", -3.64, 595
"Repollo", 6.85, 826
"Choclo", 44.64, 291
"Durazno", 169.88, 640
"Zanahoria", 35.16, 654
"Uva", 736.14, 279
"Coliflor", 29.42, 445
"Ajo", 837.50, 102
"Rabanito", 222.44, 294
"Kinoto", 31.80, 196
"Frambuesa", 2042.32, 106
"Espárrago", 644.78, 178
"Higo", 2463.76, 87
"Frutilla", 303.53, 276
"Cereza", 1008.72, 174
"Naranja", 11.04, 1160
"Durazno", 146.91, 744
"Caqui", 799.75, 109
"Naranja", 21.03, 800
"Mandarina", 16.79, 820
"Mandarina", 14.92, 1010
"Cebolla", 64.16, 744
"Coliflor", 23.35, 445
"Lima", 983.09, 200
"Lima", 1269.99, 214
"Coliflor", 30.53, 585
"Higo", 2473.55, 100
"Lima", 967.81, 226
"Calabaza", 20.15, 712
"Mandarina", 15.22, 910
"Pomelo", 42.62, 864
"Cebolla", 70.72, 736
"Acelga", 25.37, 747
"Durazno", 140.14, 944
"Batata", 13.23, 1120
"Morrón", 2958.33, 504
"Higo", 2450.67, 111
"Morrón", 2964.68, 600
"Naranja", 12.80, 880
"Durazno", 274.41, 832
"Brócoli", 374.25, 436
"Manzana", 146.48, 910
"Durazno", 153.40, 904
"Mandarina", 23.36, 900
"Coliflor", 33.01, 440
"Brócoli", 368.69, 412
"Batata", 27.55, 1010
"Lima", 1238.30, 178
"Melón", 94.02, 448
"Ajo", 923.76, 86
"Manzana", 150.40, 1120
"Champignon", 3623.86, 98
"Melón", 121.66, 324
"Banana", 74.35, 1060
"Cereza", 1022.40, 212
"Alcachofa", 142.73, 306
"Palta", 1169.28, 368
"Coliflor", 22.41, 595
"Ajo", 863.90, 105
"Lima", 1096.84, 166
"Kinoto", 20.83, 238
"Lima", 1191.31, 178
"Zuccini", 89.87, 498
"Limon", 312.86, 728
"Frambuesa", 2054.20, 80
"Lima", 1062.57, 220
"Brócoli", 352.81, 480
"Zuccini", 69.52, 720
"Durazno", 276.83, 672
"Zuccini", 76.72, 528
"Tomate", 731.77, 981
"Ciruela", 941.76, 1053
"Ciruela", 952.39, 873
"Lima", 1297.21, 174
"Batata", 17.59, 1080
"Banana", 60.94, 950
"Naranja", 12.40, 980
"Alcachofa", 137.54, 351
"Manzana", 135.68, 1120
"Frutilla", 289.04, 318
"Naranja", 12.94, 1200
"Lechuga", 38.86, 774
"Ciruela", 997.34, 918
"Cebolla", 67.59, 896
"Tomate", 779.44, 1062
"Lima", 1188.30, 200
"Frambuesa", 2110.85, 92
"Uva", 714.52, 276
"TomCherry", 575.30, 226
"Ciruela", 970.77, 837
"Limon", 333.38, 574
"Mandarina", 17.68, 930
"Lima", 977.87, 172
"Pepino", 34.59, 410
"Manzana", 122.52, 1180
"Durazno", 130.89, 904
"Calabaza", 18.44, 936
"Cereza", 1017.77, 168
"Banana", 59.70, 1050
"Palta", 514.73, 505
"Higo", 2498.27, 91
"Caqui", 844.07, 94
"Mandarina", 10.15, 840
"Lima", 1405.86, 176
"Batata", 19.35, 1160
"Pepino", 43.69, 545
"Caqui", 852.14, 112
"Batata", 18.70, 1110
"Melón", 92.17, 452
"Durazno", 296.89, 672
"Melón", 101.48, 480
"Rabanito", 228.02, 258
"Coliflor", 33.51, 580
"Berenjena", 55.65, 534
"Espárrago", 637.78, 168
"Alcachofa", 131.62, 258
"Frutilla", 245.69, 291
"Palta", 526.03, 590
"Kinoto", 30.37, 218
"Naranja", 10.77, 1080
"Frambuesa", 2040.12, 99
"Banana", 42.62, 840
"Lima", 996.01, 222
"Banana", 61.46, 990
"Naranja", 26.98, 1060
"Melón", 88.97, 440
"Melón", 107.02, 376
"Palta", 1156.22, 448
"Mandarina", 14.84, 960
"Lechuga", 44.80, 765
"Morrón", 2925.11, 504
"Uva", 716.76, 336
"Ciruela", 974.03, 765
"Pepino", 25.21, 465
"Palta", 507.57, 420
"Uva", 754.22, 291
"Mandarina", 25.12, 1070
"Higo", 2571.92, 80
"Pera", 160.95, 1000
"Caqui", 844.62, 99
"Tomate", 749.83, 819
"Pomelo", 49.15, 990
"Frutilla", 275.91, 252
"Frutilla", 288.10, 267
"Apio", 65.16, 255
"Mandarina", 9.35, 820
"Morrón", 2896.29, 516
"Kiwi", 381.62, 340
"Kiwi", 412.92, 464
"Cebolla", 69.35, 880
"Repollo", 5.43, 609
"Champignon", 3637.97, 101
"Alcachofa", 152.43, 288
"Berenjena", 55.83, 552
"Frambuesa", 2076.63, 91
"Banana", 72.81, 1120
"Coliflor", 23.86, 425
"Berenjena", 60.44, 510
"Pera", 164.19, 1060
"Espárrago", 655.66, 178
"Palta", 1129.79, 360
"Tomate", 739.07, 972
"Champignon", 3557.98, 104
"Apio", 65.16, 264
"Mandarina", 14.81, 1190
"Durazno", 156.72, 808
"Manzana", 147.66, 960
"Lima", 1042.23, 184
"Morrón", 2942.26, 678
"Lima", 1073.92, 190
"Ajo", 892.57, 107
"Espárrago", 633.42, 240
"Frambuesa", 2019.13, 113
"Kiwi", 436.36, 328
"Durazno", 131.76, 912
"Limon", 310.11, 672
"Zuccini", 81.79, 540
"Cebolla", 71.37, 736
"Kinoto", 27.78, 202
"Pomelo", 49.21, 990
"Zanahoria", 25.53, 624
"Batata", 23.00, 970
"Ajo", 904.76, 83
"Repollo", 8.02, 735
"Pepino", 47.02, 585
"Tomate", 699.80, 1026
"Limon", 295.73, 812
"Lima", 1231.87, 236
"Kiwi", 424.55, 404
"Durazno", 280.63, 728
"Durazno", 160.68, 712
"Apio", 55.38, 348
"Morrón", 2955.51, 666
"Mandarina", 17.32, 1170
"Sandía", 56.38, 882
"Apio", 63.47, 255
"Champignon", 3528.88, 81
"Ciruela", 892.96, 927
"Batata", 23.89, 980
"Lima", 1349.14, 204
"Morrón", 2951.80, 636
"Higo", 2436.78, 81
"TomCherry", 521.54, 192
"Calabaza", 21.39, 880
"Higo", 2472.50, 90
"Manzana", 126.59, 1170
"Champignon", 3619.57, 84
"Frambuesa", 2073.21, 117
"Frambuesa", 2080.54, 86
"Espárrago", 624.53, 234
"Melón", 101.19, 392
"Higo", 2510.30, 101
"Banana", 65.97, 1090
"Coliflor", 30.99, 445
"Durazno", 136.69, 864
"Banana", 63.65, 840
"Kinoto", 36.24, 172
"Repollo", 5.42, 721
"Banana", 58.08, 910
"Alcachofa", 132.76, 339
"Apio", 55.82, 303
"Manzana", 150.40, 830
"Pomelo", 37.08, 765
"Apio", 70.89, 309
"Banana", 56.60, 810
"Higo", 2531.54, 80
"Batata", 16.55, 1120
"Limon", 330.30, 672
"Coliflor", 24.80, 400
"Berenjena", 63.33, 540
"Mandarina", 14.13, 800
"Ajo", 910.73, 113
"Caqui", 808.11, 94
"Caqui", 817.99, 99
"Caqui", 844.47, 92
"Calabaza", 17.44, 856
"Ciruela", 961.78, 927
"Frutilla", 282.21, 261
"Frutilla", 279.66, 294
"Palta", 1103.53, 380
"Espárrago", 599.35, 228
"Coliflor", 34.23, 535
"Calabaza", 14.81, 888
"Cereza", 1043.53, 220
"Durazno", 161.18, 912
"TomCherry", 543.19, 224
"Sandía", 67.97, 873
"Frambuesa", 1980.43, 116
"Pomelo", 45.76, 810
"Frutilla", 284.20, 285
"Kiwi", 440.56, 432
"Ajo", 894.31, 86
"Ciruela", 947.48, 1080
"Champignon", 3552.91, 111
"Papa", 17.14, 1110
"Champignon", 3614.62, 81
"Naranja", 8.01, 890
"Pepino", 31.02, 465
"Limon", 320.86, 735
"Pomelo", 44.65, 900
"Espárrago", 627.84, 188
"Durazno", 159.54, 784
"Pepino", 34.69, 405
"Alcachofa", 112.75, 321
"Pomelo", 49.19, 810
"Naranja", 22.18, 1140
"Uva", 741.48, 267
"Lima", 1196.32, 196
"Brócoli", 359.80, 472
"Mandarina", 10.15, 1060
"Pepino", 29.30, 595
"Melón", 114.82, 352
"Batata", 28.71, 840
"Repollo", 6.16, 630
"Calabaza", 10.90, 648
"Cebolla", 58.36, 664
"Frambuesa", 2003.94, 81
"Pera", 141.13, 940
"Kiwi", 441.80, 404
"Kiwi", 404.65, 444
"Espárrago", 598.02, 204
"Naranja", 17.10, 840
"Cebolla", 65.12, 784
"Melón", 108.52, 444
"Naranja", 14.29, 1070
"Cebolla", 64.21, 704
"Pera", 151.59, 920
"Lima", 978.87, 218
"Higo", 2414.21, 112
"Melón", 106.04, 404
"Frutilla", 285.29, 246
"Pera", 163.02, 1060
"Sandía", 59.59, 1071
"Lima", 1245.92, 210
"Cereza", 970.14, 216
"Cereza", 1059.83, 178
"Alcachofa", 142.21, 360
"Lima", 1247.07, 238
"Morrón", 2895.16, 546
"Zanahoria", 33.10, 666
"Caqui", 822.52, 99
"Brócoli", 353.90, 392
"Lima", 982.89, 210
"Palta", 477.16, 525
"Lima", 1399.23, 166
"Lechuga", 43.64, 837
"Lima", 1210.01, 236
"Naranja", 17.02, 820
"Mandarina", 9.67, 930
"Uva", 697.64, 318
"Banana", 74.34, 800
"Repollo", 6.94, 679
"Papa", 17.53, 930
"Batata", 21.78, 1070
"Limon", 303.83, 707
"Durazno", 263.96, 696
"Durazno", 192.46, 752
"Durazno", 134.42, 752
"Zanahoria", 33.29, 492
"Mandarina", 25.73, 1110
"Durazno", 139.18, 856
